
	     TANUM	TAPOS	VLTYP	VLENR	NLTYP	NLENR	       CONFIRMED_AT
	7000000018	 0035			LMWE	00000000000014277748	20.151.202.070.708
	7000000018	 0036			LMWE	00000000000014277749	20.151.202.070.708
	7000000018	 0037			LMWE	00000000000014277750	20.151.202.070.708
	7000000018	 0038			LMWE	00000000000014277751	20.151.202.070.708
	7000000018	 0039			LMWE	00000000000014277752	20.151.202.070.708
	7000000019	 0001			LMWE	00000000000014277774	20.151.202.072.137
	7000000019	 0002			LMWE	00000000000014277775	20.151.202.072.137
	7000000019	 0003			LMWE	00000000000014277776	20.151.202.072.137
	7000000019	 0004			LMWE	00000000000014277777	20.151.202.072.137
	7000000019	 0005			LMWE	00000000000014277778	20.151.202.072.137
	7000000019	 0006			LMWE	00000000000014277779	20.151.202.072.137
	7000000019	 0007			LMWE	00000000000014277780	20.151.202.072.137
	7000000019	 0008			LMWE	00000000000014277781	20.151.202.072.137
	7000000019	 0009			LMWE	00000000000014277782	20.151.202.072.137
	7000000019	 0010			LMWE	00000000000014277783	20.151.202.072.137
	7000000019	 0011			LMWE	00000000000014277784	20.151.202.072.137
	7000000019	 0012			LMWE	00000000000014277785	20.151.202.072.137
	7000000019	 0013			LMWE	00000000000014277786	20.151.202.072.137
	7000000019	 0014			LMWE	00000000000014277787	20.151.202.072.137
	7000000019	 0015			LMWE	00000000000014277788	20.151.202.072.137
	7000000019	 0016			LMWE	00000000000014277789	20.151.202.072.137
	7000000019	 0017			LMWE	00000000000014277790	20.151.202.072.137
	7000000019	 0018			LMWE	00000000000014277791	20.151.202.072.137
	7000000020	 0001			LMWE	00000000000014278009	20.151.202.072.159
	7000000020	 0002			LMWE	00000000000014278010	20.151.202.072.159
	7000000020	 0003			LMWE	00000000000014278011	20.151.202.072.159
	7000000020	 0004			LMWE	00000000000014278012	20.151.202.072.159
	7000000020	 0005			LMWE	00000000000014278013	20.151.202.072.159
	7000000020	 0006			LMWE	00000000000014278014	20.151.202.072.159
	7000000020	 0007			LMWE	00000000000014278015	20.151.202.072.159
	7000000020	 0008			LMWE	00000000000014278016	20.151.202.072.159
	7000000020	 0009			LMWE	00000000000014278017	20.151.202.072.159
	7000000020	 0010			LMWE	00000000000014278018	20.151.202.072.159
	7000000020	 0011			LMWE	00000000000014278019	20.151.202.072.159
	7000000020	 0012			LMWE	00000000000014278020	20.151.202.072.159
	7000000020	 0013			LMWE	00000000000014278021	20.151.202.072.159
	7000000020	 0014			LMWE	00000000000014278022	20.151.202.072.159
	7000000020	 0015			LMWE	00000000000014278023	20.151.202.072.159
	7000000020	 0016			LMWE	00000000000014278024	20.151.202.072.159
	7000000020	 0017			LMWE	00000000000014278025	20.151.202.072.159
	7000000021	 0001			LMWE	00000000000014278261	20.151.202.073.750
	7000000021	 0002			LMWE	00000000000014278262	20.151.202.073.750
	7000000021	 0003			LMWE	00000000000014278263	20.151.202.073.750
	7000000021	 0004			LMWE	00000000000014278264	20.151.202.073.750
	7000000021	 0005			LMWE	00000000000014278265	20.151.202.073.750
	7000000021	 0006			LMWE	00000000000014278266	20.151.202.073.750
	7000000021	 0007			LMWE	00000000000014278267	20.151.202.073.750
	7000000021	 0008			LMWE	00000000000014278268	20.151.202.073.750
	7000000021	 0009			LMWE	00000000000014278269	20.151.202.073.750
	7000000021	 0010			LMWE	00000000000014278270	20.151.202.073.750
	7000000021	 0011			LMWE	00000000000014278271	20.151.202.073.750
	7000000021	 0012			LMWE	00000000000014278272	20.151.202.073.750
	7000000021	 0013			LMWE	00000000000014278273	20.151.202.073.750
	7000000021	 0014			LMWE	00000000000014278274	20.151.202.073.750
	7000000021	 0015			LMWE	00000000000014278275	20.151.202.073.750
	7000000021	 0016			LMWE	00000000000014278276	20.151.202.073.750
	7000000021	 0017			LMWE	00000000000014278277	20.151.202.073.750
	7000000021	 0018			LMWE	00000000000014278278	20.151.202.073.750
	7000000021	 0019			LMWE	00000000000014278279	20.151.202.073.750
	7000000021	 0020			LMWE	00000000000014278280	20.151.202.073.750
	7000000021	 0021			LMWE	00000000000014278281	20.151.202.073.750
	7000000021	 0022			LMWE	00000000000014278282	20.151.202.073.750
	7000000021	 0023			LMWE	00000000000014278283	20.151.202.073.750
	7000000021	 0024			LMWE	00000000000014278284	20.151.202.073.750
	7000000021	 0025			LMWE	00000000000014278285	20.151.202.073.750
	7000000021	 0026			LMWE	00000000000014278286	20.151.202.073.750
	7000000021	 0027			LMWE	00000000000014278287	20.151.202.073.750
	7000000021	 0028			LMWE	00000000000014278288	20.151.202.073.750
	7000000021	 0029			LMWE	00000000000014278289	20.151.202.073.750
	7000000021	 0030			LMWE	00000000000014278290	20.151.202.073.750
	7000000021	 0031			LMWE	00000000000014278291	20.151.202.073.750
	7000000021	 0032			LMWE	00000000000014278292	20.151.202.073.750
	7000000021	 0033			LMWE	00000000000014278293	20.151.202.073.750
	7000000022	 0001			LMWE	00000000000014278772	20.151.202.075.523
	7000000022	 0002			LMWE	00000000000014278773	20.151.202.075.523
	7000000022	 0003			LMWE	00000000000014278774	20.151.202.075.523
	7000000022	 0004			LMWE	00000000000014278775	20.151.202.075.523
	7000000022	 0005			LMWE	00000000000014278776	20.151.202.075.523
	7000000022	 0006			LMWE	00000000000014278777	20.151.202.075.523
	7000000022	 0007			LMWE	00000000000014278778	20.151.202.075.523
