INDEX,CHNGID,RECORDTP,REQUID,WM_COUNT2,/BIC/G0WM_TU_N,CALWEEK,/BIC/GEWLSTAT,CALDAY,CALMONTH,CALYEAR,WEEKDAY1,WM_MATNR,WM_LICNUM,WM_VLTYP,WM_NLTYP,WM_VLPLA,/BIC/GEWVOND,/BIC/GEWVONZ,/BIC/GEWKPI,WM_NLENR,/BIC/GEWZEITD,/BIC/GEWBISD,/BIC/GEWBISZ,/BIC/GEWERSTAT,RECORD
107,0,0,,1,000000200000000026,201548,,2015-11-26,201511,2015,4,059103601CJ,LKW-002,,,,2015-11-26,13:50:37,KPI5,00000000000013939021,20151126125108,2015-11-26,13:51:08,,107
108,0,0,,1,000000200000000023,201548,,2015-11-25,201511,2015,3,06H103373F ROH,CSU-001,,,,2015-11-25,16:38:34,KPI3,00000000000013939214,20151125165419,2015-11-25,17:54:19,,108
109,0,0,,1,000000200000000023,201548,,2015-11-26,201511,2015,4,06H103373F ROH,CSU-001,,,,2015-11-25,17:54:19,KPI4,00000000000013939214,20151126115606,2015-11-26,12:56:06,,109
110,0,0,,1,000000200000000023,201548,,2015-11-26,201511,2015,4,06H103373F ROH,CSU-001,,,,2015-11-26,12:56:06,KPI5,00000000000013939214,20151126115607,2015-11-26,12:56:07,,110
111,0,0,,1,000000200000000566,201623,,2016-06-08,201606,2016,3,06H103373F ROH,LKW6081201,,,,2015-11-25,16:38:34,KPI3,00000000000013939215,20160608094810,2016-06-08,11:48:10,,111
112,0,0,,1,000000200000000566,201623,,2016-06-08,201606,2016,3,06H103373F ROH,LKW6081201,,,,2016-06-08,11:48:10,KPI4,00000000000013939215,20160608100116,2016-06-08,12:01:16,,112
113,0,0,,1,000000200000000566,201623,,2016-06-08,201606,2016,3,06H103373F ROH,LKW6081201,,,,2016-06-08,12:01:16,KPI5,00000000000013939215,20160608100407,2016-06-08,12:04:07,,113
114,0,0,,1,000000200000000002,201546,,2015-11-11,201511,2015,3,03L141016S,LKW002,,,,2015-11-11,15:19:03,KPI3,00000000000013938945,20151111153249,2015-11-11,16:32:49,,114
115,0,0,,1,000000200000000002,201546,,2015-11-11,201511,2015,3,03L141016S,LKW002,,,,2015-11-11,16:32:49,KPI4,00000000000013938945,20151111154007,2015-11-11,16:40:07,,115
116,0,0,,1,000000200000000002,201546,,2015-11-11,201511,2015,3,03L141016S,LKW002,,,,2015-11-11,16:40:07,KPI5,00000000000013938945,20151111154023,2015-11-11,16:40:23,,116
117,0,0,,1,000000200000000002,201546,,2015-11-12,201511,2015,4,03L141016S,LKW002,,,,2015-11-12,11:11:24,KPI6,00000000000013938945,20151112101133,2015-11-12,11:11:24,,117
118,0,0,,1,000000200000000002,201547,,2015-11-19,201511,2015,4,03L141016S,LKW002,,,,2015-11-12,11:11:24,KPI7,00000000000013938945,20151119075639,2015-11-19,08:56:39,,118
119,0,0,,1,000000200000000002,201547,,2015-11-19,201511,2015,4,03L141016S,LKW002,,,,2015-11-19,08:56:39,KPI8,00000000000013938945,20151119075659,2015-11-19,08:56:39,,119
120,0,0,,1,000000200000000002,201546,ST75,2015-11-11,201511,2015,3,03L141016S,LKW002,,,,,00:00:00,KPI51,00000000000013938945,0,,00:00:00,3,120
121,0,0,,1,000000200000000002,201547,,2015-11-19,201511,2015,4,03L141016S,LKW002,,,,2015-11-11,15:19:03,KPI11,00000000000013938947,20151119075710,2015-11-19,08:57:10,,121
122,0,0,,1,000000200000000002,201546,,2015-11-11,201511,2015,3,03L141016S,LKW002,,,,2015-11-11,15:19:03,KPI3,00000000000013938947,20151111153339,2015-11-11,16:33:39,,122
123,0,0,,1,000000200000000002,201546,,2015-11-11,201511,2015,3,03L141016S,LKW002,,,,2015-11-11,16:33:39,KPI4,00000000000013938947,20151111154018,2015-11-11,16:40:18,,123
